epoch,mean_R,mean_R_train,overall_max_R,max_R,best_prog_complexity,mean_complexity,loss,n_physical,n_rewarded,best_prog_of_epoch,overall_best_prog
0,0.0033679064314963434,0.06735812862992688,0.8115083426788513,0.8115083426788513,35.0,40.1293,1.8362524367765198,67,67,(m/((sin(exp(((((log(((1*(1+1))-1))+1)-1))**(0.5))))/c)/c)),(m/((sin(exp(((((log(((1*(1+1))-1))+1)-1))**(0.5))))/c)/c))
1,0.00477078402097694,0.0954156804195388,0.8115083426788513,0.8095622088963863,27.0,39.6971,2.826664165877998,98,98,(((c)**(2))*((((cos(((exp((1/((1)**(-1))))*1)-1))+1))**(-1))*m)),(m/((sin(exp(((((log(((1*(1+1))-1))+1)-1))**(0.5))))/c)/c))
2,0.005442848787148746,0.1088569757429749,0.8115083426788513,0.7694616228546984,28.0,39.2389,3.2570919194487926,111,111,((((((cos((log(((1)**(-1)))*((1)**(-1))))/m))**(-1))/m)*m)*((c)**(2))),(m/((sin(exp(((((log(((1*(1+1))-1))+1)-1))**(0.5))))/c)/c))
3,0.007141401315291139,0.1428280263058228,0.8115083426788513,0.8110943134247299,29.0,38.5628,4.11136608594434,146,146,(c/(((sin(1)*((c)**(-1)))/1)/(v*(c/(v*(c*(1/m))))))),(m/((sin(exp(((((log(((1*(1+1))-1))+1)-1))**(0.5))))/c)/c))
4,0.010785962186000189,0.21571924372000376,0.8115083426788513,0.8115083426788513,29.0,37.7841,6.413098615469058,214,214,(m/(((1*(((sin((v/v))/(c/(1*(1/c)))))**(0.5))))**(2))),(m/((sin(exp(((((log(((1*(1+1))-1))+1)-1))**(0.5))))/c)/c))
5,0.015654515285668875,0.3130903057133775,0.8137043509188022,0.8137043509188022,39.0,36.4931,9.245240055650854,314,314,(log((exp(1)/(sin((exp(1)+exp(((1)**(-1)))))*1)))/(1/(c*(c*m)))),(log((exp(1)/(sin((exp(1)+exp(((1)**(-1)))))*1)))/(1/(c*(c*m))))
6,0.023432071641011847,0.4686414328202369,0.931665835057849,0.931665835057849,21.0,34.9608,13.809088729089435,476,476,((((v)**(2))*(m*1))+(((1/(c/(((m*c))**(-1)))))**(-1))),((((v)**(2))*(m*1))+(((1/(c/(((m*c))**(-1)))))**(-1)))
7,0.03905955402410881,0.580517127445931,0.931665835057849,0.931665835057849,21.0,32.9612,2.3455854239117215,757,757,((((1*((((c)**(2))/1)/c))*c)*m)+(v*(v*m))),((((v)**(2))*(m*1))+(((1/(c/(((m*c))**(-1)))))**(-1)))
8,0.055342300727667604,0.635299165049727,0.931665835057849,0.931665835057849,20.0,31.0519,3.0084384495543315,1056,1056,((((v)**(2))/((((1*1)*m))**(-1)))+(1*(m*(c*c)))),((((v)**(2))*(m*1))+(((1/(c/(((m*c))**(-1)))))**(-1)))
9,0.08195968470651058,0.7343105093695769,0.931665835057849,0.931665835057849,26.0,29.2925,2.3770432214983277,1477,1477,(c/(((((c*1)*(v*(v*(m*(1*(((c*c))**(-1)))))))+(c*m)))**(-1))),((((v)**(2))*(m*1))+(((1/(c/(((m*c))**(-1)))))**(-1)))
10,0.10436627046299628,0.7723657854679613,0.931665835057849,0.931665835057849,24.0,28.0878,-0.1093651281893375,1783,1783,(c*((v*((c/c)*(((c*(((m*v))**(-1))))**(-1))))+(1*(c*m)))),((((v)**(2))*(m*1))+(((1/(c/(((m*c))**(-1)))))**(-1)))
11,0.1188060264776979,0.772261399010763,0.931665835057849,0.931665835057849,21.0,27.3378,-0.1100354954836879,1984,1984,((((1*((1*((c)**(-1)))*(((c*m))**(-1)))))**(-1))+(v*(m*v))),((((v)**(2))*(m*1))+(((1/(c/(((m*c))**(-1)))))**(-1)))
12,0.1348905323987657,0.774277037377804,0.931665835057849,0.931665835057849,18.0,26.7145,-0.05466748583000092,2177,2177,(((((m/1)*((c)**(2)))*1)*1)+(v*(m*v))),((((v)**(2))*(m*1))+(((1/(c/(((m*c))**(-1)))))**(-1)))
13,0.13527079215839957,0.7735888310682674,0.931665835057849,0.8375580307836782,29.0,26.6463,-0.07380636137040744,2138,2138,(c/(cos((((1)**(-1))*(((c)**(-1))*(1/(c/(v*v))))))*(((c*m))**(-1)))),((((v)**(2))*(m*1))+(((1/(c/(((m*c))**(-1)))))**(-1)))
14,0.13910112690946178,0.7727938470660317,0.931665835057849,0.8963879275669422,27.0,26.5482,-0.08435081280285645,2160,2160,(c*(c*(((cos(((((c*((m)**(-1)))*(((v*((m)**(-1))))**(-1))))**(-1)))/m))**(-1)))),((((v)**(2))*(m*1))+(((1/(c/(((m*c))**(-1)))))**(-1)))
15,0.13715746264262202,0.773107387120077,0.931665835057849,0.8115083426788513,22.0,26.7449,-0.08058914701430789,2118,2118,(c*(c*(((1*((((((c*sin(1)))**(-1))*(c*m)))**(-1))))**(-1)))),((((v)**(2))*(m*1))+(((1/(c/(((m*c))**(-1)))))**(-1)))
16,0.13861097749139067,0.7751876722763421,0.931665835057849,0.8963879275669422,24.0,26.7718,-0.03697141853406795,2096,2096,(c*(((((1)**(-1))*(((((cos((((c)**(-1))*v)))**(-1))*(c*m)))**(-1))))**(-1))),((((v)**(2))*(m*1))+(((1/(c/(((m*c))**(-1)))))**(-1)))
17,0.13706532440673175,0.7768445894603692,0.931665835057849,0.8115083426788513,13.0,26.9559,0.0028776937678095527,2079,2079,(c/(sin(1)*(((m*c))**(-1)))),((((v)**(2))*(m*1))+(((1/(c/(((m*c))**(-1)))))**(-1)))
18,0.13823866379051142,0.7794100808912201,0.931665835057849,0.8963879275669422,22.0,27.1137,0.06333689342283935,2066,2066,((m*c)/(cos((((1/c)/1)*v))*(1/c))),((((v)**(2))*(m*1))+(((1/(c/(((m*c))**(-1)))))**(-1)))
19,0.12992363099795645,0.7827619642323161,0.931665835057849,0.8963879275669422,22.0,27.5043,0.13346288764332667,1937,1937,(c*(((1*((cos(((v*1)/c))*1)/(c*m))))**(-1))),((((v)**(2))*(m*1))+(((1/(c/(((m*c))**(-1)))))**(-1)))
20,0.12885858343051773,0.7816915170289975,0.931665835057849,0.8122166947958736,20.0,27.8915,0.11119991943603874,1921,1921,(((((c/log(1))+c)*c)*m)/sin(1)),((((v)**(2))*(m*1))+(((1/(c/(((m*c))**(-1)))))**(-1)))
